Date,(0-25),(25-50),(50-75),(75-100),(100-125),(125-150),(150-175),(175-200),(200-225),(225-250),(250-275),(275-300),(300-325),(325-350),(350-375),(375-400),(400-425),(425-450),(450-475),(475-500),(500-525),(525-550),(550-575),(575-600),(600-625),(625-650),(650-675),(675-700),(700-725),(725-750),(750-775),(775-800),(800-825),(825-850),(850-875),(875-900),(900-925),(925-950),(950-975),(975-1000),(1000-1025),(1025-1050),(1050-1075),(1075-1100),(1100-1125),(1125-1150),(1150-1175),(1175-1200),(1200-1225),,Weighted Average Expectation
,12.5,37.5,62.5,87.5,112.5,137.5,162.5,187.5,212.5,237.5,262.5,287.5,312.5,337.5,362.5,387.5,412.5,437.5,462.5,487.5,512.5,537.5,562.5,587.5,612.5,637.5,662.5,687.5,712.5,737.5,762.5,787.5,812.5,837.5,862.5,887.5,912.5,937.5,962.5,987.5,1012.5,1037.5,1062.5,1087.5,1112.5,1137.5,1162.5,1187.5,1212.5,,
3/10/2023,,,,,,,,,,,,,,,,,,0.005152,0.070161,0.249796,0.366883,0.242819,0.062984,0.002205,,,,,,,,,,,,,,,,,,,,,,,,,,,512 
3/13/2023,,,,,,,,,,,,,,0.010741,0.083227,0.248425,0.354229,0.23975,0.06257,0.00106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000557,0.016811,0.102616,0.267532,0.345565,0.215878,0.05104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/15/2023,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.041515,0.167044,0.321487,0.310886,0.137157,0.018161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132,0.008952,0.076545,0.25102,0.374835,0.242231,0.046286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0.001342,0.02535,0.143826,0.32675,0.332379,0.14722,0.023133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007845,0.066931,0.218866,0.343678,0.26392,0.089065,0.009695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001158,0.017606,0.099476,0.265935,0.352201,0.216164,0.04746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/22/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337,0.032331,0.176464,0.348723,0.308597,0.11895,0.014599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/23/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019241,0.171345,0.377859,0.314417,0.105229,0.01191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012812,0.169217,0.443446,0.300206,0.069212,0.005107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009121,0.242508,0.416408,0.259443,0.066699,0.005821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3/28/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018478,0.149356,0.33701,0.326823,0.144454,0.023879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3/29/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005033,0.119001,0.326464,0.350809,0.168434,0.030259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3/30/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004371,0.090102,0.285972,0.364555,0.209658,0.045343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3/31/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496,0.091307,0.296935,0.369151,0.199686,0.039426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/3/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08087,0.297032,0.380267,0.199947,0.040268,0.001615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333,0.228398,0.383913,0.264793,0.080654,0.008912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/5/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061664,0.337342,0.401254,0.17113,0.027456,0.001154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/6/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031515,0.229265,0.392717,0.263729,0.075313,0.007462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/7/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001059,0.056181,0.254818,0.392915,0.243586,0.051441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042876,0.225065,0.389382,0.270324,0.069402,0.002951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/11/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04649,0.236411,0.386554,0.259008,0.067674,0.003864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076287,0.309977,0.379728,0.192206,0.039563,0.002239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/13/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787,0.302631,0.377372,0.19756,0.041573,0.002164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021785,0.151382,0.345866,0.329859,0.133172,0.017935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/17/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009443,0.097952,0.309903,0.372557,0.180654,0.029491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008865,0.089311,0.297631,0.380111,0.191479,0.032602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/19/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005152,0.060252,0.239252,0.382159,0.254162,0.059024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007764,0.087834,0.312594,0.383988,0.179642,0.028178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004246,0.063728,0.283182,0.404407,0.209384,0.035052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517,0.078888,0.321281,0.393125,0.175563,0.025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/25/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04284,0.248758,0.429224,0.234283,0.042474,0.002421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/26/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041188,0.230846,0.4102,0.25244,0.06042,0.004907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008222,0.090798,0.317139,0.383044,0.174639,0.026158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4/28/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010109,0.104441,0.335615,0.372152,0.15593,0.021753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002639,0.055723,0.298746,0.413363,0.198614,0.030915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000715,0.023789,0.179773,0.416012,0.316981,0.06273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5/3/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013718,0.191451,0.420705,0.292146,0.075478,0.006502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411,0.087684,0.500578,0.357158,0.050469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5/5/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241313,0.508385,0.228872,0.021058,0.000372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5/8/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154305,0.446023,0.328012,0.067702,0.003959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5/9/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150174,0.41975,0.331615,0.090683,0.007778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
5/10/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281535,0.523868,0.191242,0.003345,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
